Digital_Input	Screen_Position_Y_axis(px)	time(ms)
372	372	6028
372	372	6037
372	372	6045
372	372	6053
372	372	6062
372	372	6071
372	372	6079
372	372	6087
372	372	6095
372	372	6103
372	372	6112
372	372	6120
372	372	6128
372	372	6136
372	372	6144
372	372	6152
372	372	6161
372	372	6170
372	372	6178
372	372	6186
372	372	6195
372	372	6203
372	372	6212
372	372	6221
372	372	6229
372	372	6237
372	372	6245
372	372	6253
372	372	6262
372	372	6271
372	372	6279
372	372	6287
372	372	6295
372	372	6303
372	372	6312
372	372	6321
372	372	6330
372	372	6339
372	372	6347
372	372	6355
372	372	6363
372	372	6371
372	372	6380
372	372	6389
372	372	6397
372	372	6406
372	372	6415
372	372	6424
372	372	6433
372	372	6441
372	372	6449
372	372	6458
372	372	6466
372	372	6475
372	372	6484
372	372	6492
372	372	6500
372	372	6508
372	372	6516
372	372	6525
372	372	6533
372	372	6542
372	372	6551
372	372	6559
372	372	6568
372	372	6577
372	372	6585
372	372	6593
372	372	6601
372	372	6609
372	372	6618
372	372	6626
372	372	6635
372	372	6643
372	372	6652
372	372	6661
372	372	6669
372	372	6678
372	372	6687
372	372	6695
372	372	6704
372	372	6712
372	372	6720
372	372	6728
372	372	6736
372	372	6745
372	372	6753
372	372	6761
372	372	6769
372	372	6777
372	372	6785
372	372	6793
372	372	6802
372	372	6810
372	372	6819
372	372	6827
372	372	6835
372	372	6843
372	372	6851
372	372	6859
372	372	6867
372	372	6875
372	372	6883
372	372	6891
372	372	6899
372	372	6907
372	372	6915
372	372	6923
372	372	6931
372	372	6939
372	372	6948
372	372	6957
372	372	6966
372	372	6975
372	372	6983
372	372	6992
372	372	7001
372	372	7009
372	372	7017
372	372	7025
372	372	7033
372	372	7041
372	372	7049
372	372	7057
372	372	7065
372	372	7073
372	372	7081
372	372	7090
372	372	7099
372	372	7108
372	372	7116
372	372	7124
372	372	7132
372	372	7141
372	372	7150
372	372	7158
372	372	7166
372	372	7174
372	372	7182
372	372	7191
372	372	7199
372	372	7207
372	372	7216
372	372	7224
372	372	7233
372	372	7241
372	372	7249
372	372	7257
372	372	7265
372	372	7273
372	372	7281
372	372	7290
372	372	7299
372	372	7307
372	372	7315
372	372	7323
372	372	7331
372	372	7339
372	372	7349
372	372	7358
372	372	7366
372	372	7374
372	372	7382
372	372	7391
372	372	7399
372	372	7407
372	372	7415
372	372	7424
372	372	7433
372	372	7441
372	372	7449
372	372	7457
372	372	7465
372	372	7473
372	372	7481
372	372	7490
372	372	7499
372	372	7508
372	372	7516
372	372	7524
372	372	7532
372	372	7540
372	372	7549
372	372	7557
372	372	7565
372	372	7573
372	372	7582
372	372	7591
372	372	7599
372	372	7607
372	372	7616
372	372	7625
372	372	7633
372	372	7641
372	372	7650
372	372	7658
372	372	7666
372	372	7675
372	372	7684
372	372	7692
372	372	7700
372	372	7709
372	372	7718
372	372	7726
372	372	7734
372	372	7742
372	372	7751
372	372	7759
372	372	7767
372	372	7776
372	372	7784
372	372	7792
372	372	7800
372	372	7808
372	372	7816
372	372	7824
372	372	7833
372	372	7841
372	372	7849
372	372	7857
372	372	7866
372	372	7875
372	372	7884
372	372	7892
372	372	7900
372	372	7908
372	372	7916
372	372	7924
372	372	7932
372	372	7941
372	372	7950
372	372	7958
372	372	7966
372	372	7974
372	372	7983
372	372	7992
372	372	8000
372	372	8008
372	372	8016
372	372	8025
372	372	8033
372	372	8041
372	372	8049
372	372	8057
372	372	8066
372	372	8074
372	372	8083
372	372	8091
372	372	8099
372	372	8108
372	372	8116
372	372	8125
372	372	8133
372	372	8141
372	372	8149
372	372	8158
372	372	8167
372	372	8175
372	372	8183
372	372	8191
372	372	8199
372	372	8208
372	372	8216
372	372	8225
372	372	8233
372	372	8241
372	372	8249
372	372	8258
372	372	8266
372	372	8275
372	372	8284
372	372	8292
372	372	8300
372	372	8308
372	372	8316
372	372	8324
372	372	8333
372	372	8341
372	372	8349
372	372	8358
372	372	8367
372	372	8375
372	372	8383
372	372	8392
372	372	8401
372	372	8409
372	372	8417
372	372	8425
372	372	8433
372	372	8441
372	372	8450
372	372	8458
372	372	8467
372	372	8475
372	372	8483
372	372	8491
372	372	8500
372	372	8509
372	372	8517
372	372	8525
372	372	8533
372	372	8542
372	372	8550
372	372	8558
372	372	8567
372	372	8575
372	372	8584
372	372	8592
372	372	8601
372	372	8610
372	372	8620
372	372	8628
372	372	8637
372	372	8646
372	372	8655
372	372	8663
372	372	8671
372	372	8679
372	372	8687
372	372	8696
372	372	8705
372	372	8713
372	372	8721
372	372	8730
372	372	8739
372	372	8747
372	372	8755
372	372	8763
372	372	8771
372	372	8780
372	372	8788
372	372	8797
372	372	8806
372	372	8814
372	372	8823
372	372	8832
372	372	8840
372	372	8848
372	372	8856
372	372	8865
372	372	8873
372	372	8881
372	372	8890
