Digital_Input	Screen Position Y axis (px)	time (ms)
-4.584575456121133	850.2952340335171	6772
-4.564193802361078	846.5150752773214	6790
-4.5438121486010274	842.7349165211265	6805
-4.5438121486010274	842.7349165211265	6822
-4.5438121486010274	842.7349165211265	6835
-4.554002975481055	844.6249958992244	6848
-4.564193802361078	846.5150752773214	6862
-4.554002975481055	844.6249958992244	6876
-4.554002975481055	844.6249958992244	6891
-4.5438121486010274	842.7349165211265	6906
-4.533621321721	840.8448371430287	6922
-4.523430494840973	838.954757764931	6939
-4.513239667960946	837.0646783868331	6956
-4.533621321721	840.8448371430287	6973
-4.554002975481055	844.6249958992244	6989
-4.584575456121133	850.2952340335171	7007
-4.615147936761215	855.9654721678104	7026
-4.615147936761215	855.9654721678104	7045
-4.615147936761215	855.9654721678104	7060
-4.59476628300116	852.1853134116147	7075
-4.564193802361078	846.5150752773214	7090
-4.513239667960946	837.0646783868331	7106
-4.431713052920731	821.9440433620515	7118
-4.289041476600357	795.4829320686836	7132
-4.044461631479713	750.1210269943386	7144
-3.606256075638562	668.8476137361374	7159
-2.903089020916717	538.4321366473964	7176
-2.2916394081151097	425.0273739615341	7193
-1.7820980641137716	330.52340505664904	7209
-1.3846558157927298	256.81030931083916	7226
-1.129885143792059	209.5583248583963	7242
-0.9260686061915244	171.7567372964424	7257
-0.7324428954710172	135.84522911258634	7276
-0.5999621460306663	111.2741971973157	7290
-0.49805387723040084	92.3734034163391	7306
-0.43690891595024084	81.032927147753	7319
-0.3961456084301318	73.47260963536182	7331
-0.3655731277900536	67.80237150106912	7344
-0.32480982026994454	60.24205398867794	7356
-0.29423733962986276	54.57181585438457	7373
-0.2534740321097573	47.011498341994056	7390
-0.2127107245896518	39.451180829603544	7407
-0.18213824394957	33.780942695310166	7424
-0.15156576330948823	28.11070456101679	7441
-0.14137493642946453	26.22062518291965	7458
-0.14137493642946453	26.22062518291965	7475
-0.13118410954943727	24.33054580482186	7493
-0.13118410954943727	24.33054580482186	7508
-0.12099328266941001	22.440466426724065	7524
-0.12099328266941001	22.440466426724065	7540
-0.12099328266941001	22.440466426724065	7553
-0.11080245578938275	20.550387048626277	7566
-0.11080245578938275	20.550387048626277	7578
-0.11080245578938275	20.550387048626277	7594
-0.11080245578938275	20.550387048626277	7610
-0.10061162890935549	18.660307670528482	7626
-0.11080245578938275	20.550387048626277	7642
-0.10061162890935549	18.660307670528482	7659
-0.11080245578938275	20.550387048626277	7678
-0.11080245578938275	20.550387048626277	7696
-0.11080245578938275	20.550387048626277	7714
-0.10061162890935549	18.660307670528482	7731
-0.10061162890935549	18.660307670528482	7745
-0.10061162890935549	18.660307670528482	7761
-0.11080245578938275	20.550387048626277	7775
-0.11080245578938275	20.550387048626277	7792
-0.11080245578938275	20.550387048626277	7808
-0.11080245578938275	20.550387048626277	7820
-0.11080245578938275	20.550387048626277	7833
-0.11080245578938275	20.550387048626277	7845
-0.11080245578938275	20.550387048626277	7858
-0.11080245578938275	20.550387048626277	7869
-0.11080245578938275	20.550387048626277	7881
-0.11080245578938275	20.550387048626277	7898
-0.11080245578938275	20.550387048626277	7909
-0.11080245578938275	20.550387048626277	7921
-0.10061162890935549	18.660307670528482	7934
-0.11080245578938275	20.550387048626277	7949
-0.11080245578938275	20.550387048626277	7963
-0.11080245578938275	20.550387048626277	7975
-0.11080245578938275	20.550387048626277	7988
-0.11080245578938275	20.550387048626277	8002
-0.11080245578938275	20.550387048626277	8014
-0.11080245578938275	20.550387048626277	8026
-0.11080245578938275	20.550387048626277	8039
-0.11080245578938275	20.550387048626277	8052
-0.11080245578938275	20.550387048626277	8064
-0.11080245578938275	20.550387048626277	8077
-0.11080245578938275	20.550387048626277	8092
-0.11080245578938275	20.550387048626277	8109
-0.11080245578938275	20.550387048626277	8125
-0.11080245578938275	20.550387048626277	8142
-0.11080245578938275	20.550387048626277	8159
-0.11080245578938275	20.550387048626277	8176
-0.11080245578938275	20.550387048626277	8192
-0.11080245578938275	20.550387048626277	8209
-0.11080245578938275	20.550387048626277	8221
-0.11080245578938275	20.550387048626277	8234
-0.12099328266941001	22.440466426724065	8247
-0.11080245578938275	20.550387048626277	8262
-0.11080245578938275	20.550387048626277	8276
-0.12099328266941001	22.440466426724065	8293
-0.11080245578938275	20.550387048626277	8310
-0.11080245578938275	20.550387048626277	8327
-0.11080245578938275	20.550387048626277	8345
-0.11080245578938275	20.550387048626277	8362
-0.11080245578938275	20.550387048626277	8379
-0.11080245578938275	20.550387048626277	8395
-0.11080245578938275	20.550387048626277	8415
-0.11080245578938275	20.550387048626277	8430
-0.11080245578938275	20.550387048626277	8445
-0.11080245578938275	20.550387048626277	8459
-0.10061162890935549	18.660307670528482	8472
-0.11080245578938275	20.550387048626277	8485
-0.10061162890935549	18.660307670528482	8497
-0.11080245578938275	20.550387048626277	8510
-0.10061162890935549	18.660307670528482	8527
-0.11080245578938275	20.550387048626277	8544
-0.10061162890935549	18.660307670528482	8562
-0.10061162890935549	18.660307670528482	8579
-0.10061162890935549	18.660307670528482	8597
-0.15156576330948823	28.11070456101679	8616
-0.3350006471499718	62.13213336677574	8632
-0.6712979341908536	124.5047528439996	8647
-1.1400759706720862	211.4484042364941	8660
-1.863624679153986	345.6440400814308	8677
-2.4546926381955387	455.2686440110975	8694
-2.9234706746767714	542.212295403592	8710
-3.290340442357735	610.2551530151093	8723
-3.6164469025185895	670.7376931142353	8737
-3.861026747639233	716.0995981885803	8750
-4.024079977719662	746.3408682381437	8764
-4.105606592759877	761.4615032629254	8779
-4.156560727160009	770.9119001534137	8794
-4.217705688440169	782.2523764219998	8806
-4.258468995960278	789.812693934391	8819
-4.278850649720329	793.5928526905859	8833
-4.258468995960278	789.812693934391	8847
-4.227896515320197	784.1424558000975	8861
-4.207514861560142	780.3622970439021	8878
-4.217705688440169	782.2523764219998	8895
-4.217705688440169	782.2523764219998	8912
-4.217705688440169	782.2523764219998	8928
-4.207514861560142	780.3622970439021	8945
-4.187133207800091	776.582138287707	8962
-4.146369900279982	769.0218207753159	8978
-4.095415765879849	759.5714238848275	8995
-4.024079977719662	746.3408682381437	9011
-3.9425533626794476	731.2202332133621	9028
-3.8508359207592058	714.2095188104826	9045
-3.7489276519589367	695.3087250295052	9062
-3.6674010369187258	680.1880900047242	9079
-3.606256075638562	668.8476137361374	9095
-3.5553019412384295	659.397216845649	9112
-3.5043478068382967	649.9468199551609	9128
-3.422821191798082	634.8261849303792	9148
-3.361676230517922	623.4857086617931	9168
-3.300531269237762	612.145232393207	9182
-3.259767961717653	604.5849148808159	9194
-3.2190046541975477	597.0245973684254	9206
-3.198623000437493	593.2444386122298	9218
-3.1782413466774386	589.4642798560341	9231
-3.1578596929173877	585.6841210998392	9246
-3.1578596929173877	585.6841210998392	9264
-3.1578596929173877	585.6841210998392	9279
-3.1680505197974114	587.5742004779364	9291
-3.1782413466774386	589.4642798560341	9304
-3.1782413466774386	589.4642798560341	9318
-3.1782413466774386	589.4642798560341	9332
-3.1782413466774386	589.4642798560341	9345
-3.198623000437493	593.2444386122298	9363
-3.229195481077575	598.9146767465231	9375
-3.290340442357735	610.2551530151093	9388
-3.361676230517922	623.4857086617931	9401
-3.4432028455581367	638.6063436865749	9415
-3.5247294605983512	653.7269787113564	9429
-3.606256075638562	668.8476137361374	9446
-3.6775918637987495	682.0781693828213	9463
-3.7183551713188585	689.6384868952125	9480
-3.738736825078913	693.4186456514082	9498
-3.7183551713188585	689.6384868952125	9516
-3.6877826906787767	683.9682487609192	9534
-3.6775918637987495	682.0781693828213	9546
-3.697973517558804	685.858328139017	9559
-3.7285459981988858	691.5285662733104	9572
-3.7489276519589367	695.3087250295052	9585
-3.7489276519589367	695.3087250295052	9600
-3.738736825078913	693.4186456514082	9616
-3.7081643444388313	687.7484075171146	9629
-3.6775918637987495	682.0781693828213	9643
-3.6470193831586712	676.4079312485286	9656
-3.6164469025185895	670.7376931142353	9668
-3.5858744218785112	665.0674549799426	9680
-3.5654927681184567	661.2872962237469	9693
-3.534920287478375	655.6170580894536	9707
-3.5043478068382967	649.9468199551609	9720
-3.4941569799582695	648.056740577063	9734
-3.483966153078242	646.1666611989654	9750
-3.483966153078242	646.1666611989654	9763
-3.483966153078242	646.1666611989654	9776
-3.473775326198215	644.2765818208675	9790
-3.473775326198215	644.2765818208675	9802
-3.473775326198215	644.2765818208675	9816
-3.4941569799582695	648.056740577063	9831
-3.5247294605983512	653.7269787113564	9847
-3.545111114358402	657.5071374675514	9864
-3.5553019412384295	659.397216845649	9881
-3.5654927681184567	661.2872962237469	9898
-3.5858744218785112	665.0674549799426	9915
-3.606256075638562	668.8476137361374	9933
-3.6470193831586712	676.4079312485286	9948
-3.6775918637987495	682.0781693828213	9965
-3.7183551713188585	689.6384868952125	9983
-3.7489276519589367	695.3087250295052	9999
-3.7693093057189913	699.0888837857008	10014
-3.759118478838964	697.198804407603	10026
-3.7489276519589367	695.3087250295052	10038
-3.7285459981988858	691.5285662733104	10050
-3.7183551713188585	689.6384868952125	10064
-3.7183551713188585	689.6384868952125	10076
-3.7183551713188585	689.6384868952125	10090
-3.7081643444388313	687.7484075171146	10101
-3.697973517558804	685.858328139017	10115
-3.6775918637987495	682.0781693828213	10131
-3.6470193831586712	676.4079312485286	10148
-3.6164469025185895	670.7376931142353	10166
-3.5858744218785112	665.0674549799426	10187
-3.5654927681184567	661.2872962237469	10202
-3.545111114358402	657.5071374675514	10217
-3.5247294605983512	653.7269787113564	10231
-3.5043478068382967	649.9468199551609	10248
-3.4941569799582695	648.056740577063	10261
-3.483966153078242	646.1666611989654	10273
-3.4941569799582695	648.056740577063	10286
-3.5043478068382967	649.9468199551609	10298
-3.5043478068382967	649.9468199551609	10315
-3.5043478068382967	649.9468199551609	10332
-3.5043478068382967	649.9468199551609	10349
-3.514538633718324	651.8368993332587	10365
-3.534920287478375	655.6170580894536	10382
-3.5654927681184567	661.2872962237469	10399
-3.575683594998484	663.1773756018448	10416
-3.5654927681184567	661.2872962237469	10434
-3.5553019412384295	659.397216845649	10451
-3.534920287478375	655.6170580894536	10467
-3.5043478068382967	649.9468199551609	10482
-3.4635844993181877	642.3865024427698	10495
-3.4024395380380277	631.0460261741837	10509
-3.300531269237762	612.145232393207	10522
-3.1476688660373604	583.7940417217415	10535
-2.8317532327565296	525.2015810007125	10550
-2.4139293306754332	447.708326498707	10566
-1.9247696404341461	356.98451635001686	10583
-1.5069457383530498	279.49126184801133	10600
-1.1808392781921917	219.0087217488846	10617
-0.9362594330715517	173.64681667454022	10633
-0.7426337223510409	137.73530849068348	10655
-0.6203437997907209	115.05435595351129	10668
-0.5184355309904518	96.15356217253402	10685
-0.44709974283026455	82.92300652585014	10700
-0.38595478155010454	71.58253025726404	10713
-0.34519147402999906	64.02221274487353	10726
-0.29423733962986276	54.57181585438457	10739
-0.26366485898978453	48.901577720091844	10753
-0.24328320522973002	45.12141896389626	10769
-0.2229015514696755	41.34126020770067	10785
-0.19232907082959727	35.671022073407954	10800
-0.19232907082959727	35.671022073407954	10817
-0.18213824394957	33.780942695310166	10833
-0.18213824394957	33.780942695310166	10850
-0.18213824394957	33.780942695310166	10866
-0.18213824394957	33.780942695310166	10883
-0.18213824394957	33.780942695310166	10900
-0.18213824394957	33.780942695310166	10917
-0.19232907082959727	35.671022073407954	10934
-0.19232907082959727	35.671022073407954	10951
-0.20251989770962453	37.56110145150575	10968
-0.2127107245896518	39.451180829603544	10986
-0.2229015514696755	41.34126020770067	11004
-0.2229015514696755	41.34126020770067	11020
-0.2229015514696755	41.34126020770067	11036
-0.2229015514696755	41.34126020770067	11051
-0.23309237834970276	43.231339585798466	11068
-0.2229015514696755	41.34126020770067	11084
-0.2229015514696755	41.34126020770067	11101
-0.2229015514696755	41.34126020770067	11118
-0.2229015514696755	41.34126020770067	11135
-0.2229015514696755	41.34126020770067	11152
-0.2229015514696755	41.34126020770067	11168
-0.2127107245896518	39.451180829603544	11186
-0.2127107245896518	39.451180829603544	11203
-0.20251989770962453	37.56110145150575	11221
-0.19232907082959727	35.671022073407954	11237
-0.18213824394957	33.780942695310166	11251
-0.18213824394957	33.780942695310166	11270
-0.17194741706954275	31.89086331721237	11285
-0.1617565901895155	30.00078393911458	11297
-0.1617565901895155	30.00078393911458	11310
-0.1617565901895155	30.00078393911458	11324
-0.15156576330948823	28.11070456101679	11337
-0.15156576330948823	28.11070456101679	11353
-0.15156576330948823	28.11070456101679	11368
-0.15156576330948823	28.11070456101679	11385
-0.15156576330948823	28.11070456101679	11403
-0.15156576330948823	28.11070456101679	11422
-0.15156576330948823	28.11070456101679	11441
-0.1617565901895155	30.00078393911458	11457
-0.1617565901895155	30.00078393911458	11474
-0.1617565901895155	30.00078393911458	11492
-0.1617565901895155	30.00078393911458	11507
-0.1617565901895155	30.00078393911458	11522
-0.1617565901895155	30.00078393911458	11535
-0.1617565901895155	30.00078393911458	11552
-0.1617565901895155	30.00078393911458	11569
-0.1617565901895155	30.00078393911458	11586
-0.1617565901895155	30.00078393911458	11603
-0.1617565901895155	30.00078393911458	11619
-0.17194741706954275	31.89086331721237	11636
-0.17194741706954275	31.89086331721237	11652
-0.17194741706954275	31.89086331721237	11669
-0.17194741706954275	31.89086331721237	11686
-0.17194741706954275	31.89086331721237	11705
-0.17194741706954275	31.89086331721237	11723
-0.1617565901895155	30.00078393911458	11737
-0.1617565901895155	30.00078393911458	11752
-0.15156576330948823	28.11070456101679	11768
-0.15156576330948823	28.11070456101679	11781
-0.15156576330948823	28.11070456101679	11792
-0.15156576330948823	28.11070456101679	11805
-0.15156576330948823	28.11070456101679	11819
-0.15156576330948823	28.11070456101679	11836
-0.1617565901895155	30.00078393911458	11853
-0.19232907082959727	35.671022073407954	11869
-0.30442816650989	56.461895232482355	11886
-0.5082447041104281	94.2634827944369	11903
-0.6916795879509081	128.2849116001952	11920
-0.7935878567511772	147.18570538117245	11939
-0.8547328180313372	158.52618164975854	11956
-0.9464502599515789	175.536896052638	11972
-1.170648451312168	217.11864237078746	11987
-1.578281526513237	292.72181749469524	12004
-2.087822870514575	387.2257863995803	12022
-2.689081656436155	498.74046970734474	12037
-3.422821191798082	634.8261849303792	12054
